Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
基准测试:13_hash请求,46,6716,6802,9074,9984,12837,1959,12837,0.000%,1.17882,4.74,10050.47
TOTAL,46,6716,6802,9074,9984,12837,1959,12837,0.000%,1.17882,4.74,10050.47
