Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
基准测试:13_hash请求,88,7553,7458,12485,13571,14822,1754,15688,0.000%,1.11742,4.49,9526.95
TOTAL,88,7553,7458,12485,13571,14822,1754,15688,0.000%,1.11742,4.49,9526.95
