Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
基准测试:13_hash请求,3000,847,470,1444,2131,7061,114,26833,0.000%,76.83245,315.67,223.22
TOTAL,3000,847,470,1444,2131,7061,114,26833,0.000%,76.83245,315.67,223.22
