Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,450,3242,3175,5041,5684,7001,260,8161,0.000%,12.81686,101397.83,4.81
TOTAL,450,3242,3175,5041,5684,7001,260,8161,0.000%,12.81686,101397.83,4.81
