Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,30,399,373,463,464,603,332,603,0.000%,17.64706,139620.16,6.62
TOTAL,30,399,373,463,464,603,332,603,0.000%,17.64706,139620.16,6.62
