Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,60,636,448,1166,1323,1493,275,1793,0.000%,15.00750,118733.11,5.63
TOTAL,60,636,448,1166,1323,1493,275,1793,0.000%,15.00750,118733.11,5.63
